objectid,object_location,image_small,image_thumb,display_template,title,creator,subject,identifier,Language,publisher,location,date,Edition,tags,bobcat_permalink,worldcat_permalink
mag002,/objects/mag002.png,/objects/small/mag002_sm.png,/objects/thumbs/mag002_th.png,item,"Podran Matar Las Flores, Pero Nunca Las Cantutas: Los Familiares Del Caso La Cantuta, Actores En El Proceso De Busqueda De Verdad Y Justicia",APRODEH; Red INFA,Magazines,978-9972-863-04-2,spa,Aprodeh,Peru,6/2008,1,Magazine -- Social Justice,,https://worldcat.org/en/title/276394037
mag003,/objects/mag003.png,/objects/small/mag003_sm.png,/objects/thumbs/mag003_th.png,item,"Año Historico: La economía de Bolivia creció 6,8% en 2013",economía Plural,Magazines,,spa,Ministerio de Economía y Fianzas Públicas,Bolivia,4/2014,,Periodical -- Financial,,
mag004,/objects/mag004.png,/objects/small/mag004_sm.png,/objects/thumbs/mag004_th.png,item,ReVista: Beauty,Harvard Review of Latin America,Magazines,,eng,David Rockefeller Center for Latin American Studies -- Harvard University,United States,Spr/2017,Volume XVI NO. 3,Magazine -- Beauty and Health,,
mag005,/objects/mag005.png,/objects/small/mag005_sm.png,/objects/thumbs/mag005_th.png,item,Bolivia: Orfebre,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores,Bolivia,9/2009,2,Product Catalog,,
mag006,/objects/mag006.png,/objects/small/mag006_sm.png,/objects/thumbs/mag006_th.png,item,Bolivia Artistica: Manufacturas de Cuero,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores,Bolivia,9/2009,2,Product Catalog,,
mag007,/objects/mag007.png,/objects/small/mag007_sm.png,/objects/thumbs/mag007_th.png,item,Bolivia: Textil,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores,Bolivia,9/2009,2,Product Catalog,,
mag008,/objects/mag008.png,/objects/small/mag008_sm.png,/objects/thumbs/mag008_th.png,item,Bolivia: Ecologica,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores,Bolivia,9/2009,2,Ecological / Agricultural,,
mag009,/objects/mag009.png,/objects/small/mag009_sm.png,/objects/thumbs/mag009_th.png,item,Bolivia: Turismo de Bolivia,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores,Bolivia,9/2009,2,Product Catalog,,
mag010,/objects/mag010.png,/objects/small/mag010_sm.png,/objects/thumbs/mag010_th.png,item,Bolivia: Productos de Madera,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores,Bolivia,9/2009,2,Tourism Guide,,
mag011,/objects/mag011.png,/objects/small/mag011_sm.png,/objects/thumbs/mag011_th.png,item,Chachapuna: Revista de Arquelogía Boliviana,"Sagárnaga, Jédu",Magazines,,spa,La Biblioteca y Archivo Histórico del Honorable Congreso Nacional,Bolivia,12/2008,No. 4,Magazine -- Archeaology,,
mag012,/objects/mag012.png,/objects/small/mag012_sm.png,/objects/thumbs/mag012_th.png,item,Chachapuna: Revista de Arquelogía Boliviana,"Sagárnaga, Jédu",Magazines,,spa,La Biblioteca y Archivo Histórico del Honorable Congreso Nacional,Bolivia,9/2007,No. 2,Magazine -- Archeaology,,
mag013,/objects/mag013.png,/objects/small/mag013_sm.png,/objects/thumbs/mag013_th.png,item,Chachapuna: Revista de Arquelogía Boliviana,"Sagárnaga, Jédu",Magazines,,spa,La Biblioteca y Archivo Histórico del Honorable Congreso Nacional,Bolivia,6/2008,No. 3,Magazine -- Archeaology,,
poe001,/objects/poe001.jpg,/objects/small/poe001_sm.jpg,/objects/thumbs/poe001_th.jpg,item,Katatay / Dicen Que Somos,"Arguedas, Jose Maria; Sybila Arredondo de Arguedas",Poetry Books,DL 2011-12892,"que,spa",CHUSCA. Cultura Local Contemporana,Peru,2011,1,Poetry,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph002819327,https://worldcat.org/en/title/823931084
poe002,/objects/poe002.png,/objects/small/poe002_sm.png,/objects/thumbs/poe002_th.png,item,Puyupa-wayrapa-ninapawan-musqukusqanmanta,"Carrillo Cavero, Ugo Facundo ",Poetry Books,978-612-45866-1-3,que,Imrenta Editorial Punto Com EIRL,Peru,2010,1,Poetry,,
poe003,/objects/poe003.png,/objects/small/poe003_sm.png,/objects/thumbs/poe003_th.png,item,Yaku-Unupa Yuyaynin / La memoria del agua,"Carrillo Cavero, Ugo Facundo ",Poetry Books,DL: 2009-15237,que,conbuenaletra impesiones,Peru,2009,1,Poetry,,https://worldcat.org/en/title/678476285
poe004,/objects/poe004.png,/objects/small/poe004_sm.png,/objects/thumbs/poe004_th.png,item,Taki Parwa / 22 Poems Kilku Warak'a,"Gonzales, Odi",Poetry Books,,que,Corporación Gráfica Navarrete S.A.,Peru,,1,Poetry,,https://worldcat.org/en/title/45038428
poe005,/objects/poe005.png,/objects/small/poe005_sm.png,/objects/thumbs/poe005_th.png,item,tunupa / El Libro de las sirenas,"Gonzales, Odi",Poetry Books,9972-68821-6,"que,spa",Santo x Oficio,Peru,2002,1,Poetry,,https://worldcat.org/en/title/50484625
poe006,/objects/poe006.png,/objects/small/poe006_sm.png,/objects/thumbs/poe006_th.png,item,Ciudad [c]oral,"Gonzales, Odi",Poetry Books,978-612-47289-4-5,spa,Paracaidas,Peru,2017,1,Poetry,,https://worldcat.org/en/title/994229711
poe007,/objects/poe007.png,/objects/small/poe007_sm.png,/objects/thumbs/poe007_th.png,item,la escuela de cusco,"Gonzales, Odi",Poetry Books,9972-688-542,spa,santo x Oficio,Peru,2005,1,Poetry,,https://worldcat.org/en/title/62677338
poe008,/objects/poe008.jpg,/objects/small/poe008_sm.jpg,/objects/thumbs/poe008_th.jpg,item,Birds on the Kiswar Tree,"Gonzales, Odi",Poetry Books,978-1-940939-24-7,"spa,eng",2Leaf Press,United States,2009,1,,,https://worldcat.org/en/title/929625063
poe009,/objects/poe009.png,/objects/small/poe009_sm.png,/objects/thumbs/poe009_th.png,item,Musuq Illa,"Krögel, Alison
 ",Poetry Books,978-612-4297-48-9,"spa,que",,,,,Poetry,,https://worldcat.org/en/title/1252632114
poe010,/objects/poe010.png,/objects/small/poe010_sm.png,/objects/thumbs/poe010_th.png,item,Alusiones: Recuentos de un joven andino,"Medrano, Eduardo Félix ",Poetry Books,,spa,,United States,2008,1,Poetry,,https://worldcat.org/en/title/1288391446
runa001,/objects/runa001.jpg,/objects/small/runa001_sm.jpg,/objects/thumbs/runa001_th.jpg,item,Ollanta: Mito e Historia,,Willaykuna Runasimipi (Books in Quechua),,"spa,que",Municipilidad Distrital de Ollantaytambo,Peru,,,Historical Play,,
runa002,/objects/runa002.jpg,/objects/small/runa002_sm.jpg,/objects/thumbs/runa002_th.jpg,item,"Adivinanzas, Trabalenguas y Cuentos en Quechua","Alvarado Bonifacio, Aquilano ",Willaykuna Runasimipi (Books in Quechua),5-1-1152-07,"spa,que",Latinas Editores Ltda,Bolivia,2015,3,"Riddles,tongue twisters",,
runa003,/objects/runa003.jpg,/objects/small/runa003_sm.jpg,/objects/thumbs/runa003_th.jpg,item,"Literatura Quechua: Cuentos andinos, poesias, canciones, dichos, refranes, adivinanzas ","Bacarreza, Donato Gómez",Willaykuna Runasimipi (Books in Quechua),DL: 7-88-98,que,Academia Boliviana de Lenguas Nativas,Bolivia,2013,3,"Stories,Poetry",,https://worldcat.org/en/title/761318176
runa004,/objects/runa004.jpg,/objects/small/runa004_sm.jpg,/objects/thumbs/runa004_th.jpg,item,Phuyup yawar waqaynin,"Camacho Rios, Gladys",Willaykuna Runasimipi (Books in Quechua),,que,"Talleres Gráficos ""Kipus"" ",Bolivia,2013,1,History -- Bolivia,,https://worldcat.org/en/title/1124682694
runa005,/objects/runa005.jpg,/objects/small/runa005_sm.jpg,/objects/thumbs/runa005_th.jpg,item,"See Sandy: A Kid's Story in English, Spanish, and Quechua","Enriquez, Sandy",Willaykuna Runasimipi (Books in Quechua),,"eng,spa,que",Quwicha Press,United States,2018,1,Children's book,,
runa006,/objects/runa006.png,/objects/small/runa006_sm.png,/objects/thumbs/runa006_th.png,item,Mushuc Quellca Huañuyta Yachashpa Huillarca,"Garcia Marquez, Gabriel",Willaykuna Runasimipi (Books in Quechua),,que,Editorial Oveja Negra,Colombia,1981,1,Fiction,,https://worldcat.org/en/title/11921196
runa007,/objects/runa007.jpg,/objects/small/runa007_sm.jpg,/objects/thumbs/runa007_th.jpg,item,"Kawsayninchista willanakusunchis : Patacanchaq willanakuynin, takinkuna ima ","Medina Quiñones, Amanda",Willaykuna Runasimipi (Books in Quechua),978-9972-691-92-8,que,Centro de Estudios Regionales Andinos Bartolomé de Las Casas,Peru,2009,1,Stories,,https://worldcat.org/en/title/635537963
runa008,/objects/runa008.jpg,/objects/small/runa008_sm.jpg,/objects/thumbs/runa008_th.jpg,item,Ollantay: Cantos y Narraciones Quechuas,"Miró, César; Bondy, Sebastián Salazar ",Willaykuna Runasimipi (Books in Quechua),15-10985-G,"que,spa",PEISA,Peru,1995,1,"Songs,Stories",,https://worldcat.org/en/title/18108749
runa009,/objects/runa009.jpg,/objects/small/runa009_sm.jpg,/objects/thumbs/runa009_th.jpg,item,"Qoricha: Charanguerucha, Huk Kumpachata Tarin","Rebatta, Elva Ambía",Willaykuna Runasimipi (Books in Quechua),,"eng,spa,que",New York Quechua Initiative,United States,2016,1,Children's book,,
runa010,/objects/runa010.jpg,/objects/small/runa010_sm.jpg,/objects/thumbs/runa010_th.jpg,item,Asiricuspa Keswitapi: Riase en Quechua,Tauru's Educacion y Cultura a los cuatro vientos,Willaykuna Runasimipi (Books in Quechua),,que,Comunitaria Vocacional Estado Plurinacional de Bolivia,Bolivia,2014,1,Stories,,
runa011,/objects/runa011.jpg,/objects/small/runa011_sm.jpg,/objects/thumbs/runa011_th.jpg,item,Wawanchik Allin Qhawarisqa Kananpaq (El Libro de los Padres),"Villarroel, Alfredo Quiroz",Willaykuna Runasimipi (Books in Quechua),,que,Proyecto Yuyay Jap'ina Norte de Potosi,Peru,1995,1,Stories,,https://worldcat.org/title/643244442
runa012,/objects/runa012.jpg,/objects/small/runa012_sm.jpg,/objects/thumbs/runa012_th.jpg,item,Imasmarikuna,"Villarroel, Alfredo Quiroz",Willaykuna Runasimipi (Books in Quechua),2-1-1148-08,que,Impresores Colorgraf Rodriguez,Bolivia,2008,1,Stories,,https://worldcat.org/en/title/643244446
runa013,/objects/runa013.jpg,/objects/small/runa013_sm.jpg,/objects/thumbs/runa013_th.jpg,item,Waylluymanta Arawikuna,"Villarroel, Alfredo Quiroz",Willaykuna Runasimipi (Books in Quechua),2-1-1147-08,que,Impresores Colorgraf Rodriguez,Bolivia,2008,1,Stories,,
runa014,/objects/runa014.jpg,/objects/small/runa014_sm.jpg,/objects/thumbs/runa014_th.jpg,item,"Wakin Tata, Imaraykutaq Qhichwa simipi mana yachachikunata munankuchu?","Villarroel, Alfredo Quiroz",Willaykuna Runasimipi (Books in Quechua),DL 4-1-1-93,que,Comision Episcopal de Educacion Proyecto de educacion interculturral bilingue,Peru,1996,1,Stories,,
runa015,/objects/runa015.jpg,/objects/small/runa015_sm.jpg,/objects/thumbs/runa015_th.jpg,item,Atuqmanta Willaykunawan Arawikunawan,"Villarroel, Alfredo Quiroz",Willaykuna Runasimipi (Books in Quechua),DL 4-1-1-93,que,Comision Episcopal de Educacion Proyecto de educacion interculturral bilingue,Peru,1992,1,Stories,,
runa016,/objects/runa016.jpg,/objects/small/runa016_sm.jpg,/objects/thumbs/runa016_th.jpg,item,Quyllur: Kay p'anqaqa ñawirispa whichwata kallpachanapaq,"Villarroel, Alfredo Quiroz",Willaykuna Runasimipi (Books in Quechua),DL 4-2-310-96,que,Comision Episcopal de Educacion Proyecto de educacion interculturral bilingue,Peru,1996,1,Stories,,
