title,objectid,display_template,image_small,creator,subject,isbn_id,Language,publisher,location,year_published,Edition,tags,bobcat_permalink,worldcat_permalink
Bolivia: Ecologica ,mag008,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/yx5K5bpCuXnkzLHlHWDU0A/_RFexyESJCJP-C0L2lwZjHCuj15by6LdRIhgwDVz3LU3BtAiAc8W5hhVvbPk-S1jeMt88M2GFX1uG8un5A-5Gg/rK8N5EivVvzsnKSedI8MV9eoWb7Q3tLn6NOEOj_-GpA,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores ,Bolivia,9/2009,2,Ecological / Agricultural,,
Bolivia: Turismo de Bolivia,mag009,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/Z36L6QzP41Prc5itHGGHgg/FHT5AgIhR0Av0FSzdoYlXwfv498BXfmGZTQrEkiiO2wFFX74qMS15baPpqK1AJSjUxlDcMiUOktUhWqQ-8Tgsw/IZvyrbC07C1_XX33_wR54p4oiaiIko04TAdGLxCxwDk,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores ,Bolivia,9/2009,2,Product Catalog,,
Bolivia: Productos de Madera,mag010,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/MftiLV78TRS37crEZ9ebBw/W3_EO1vxyIu0AP6lL-fw2QoTIz8j-aVaRkUnGl9Rgv0O0EEuGVsw81l_a-3dJRUDVeg0onr8oc9UDddj1F9jvQ/Par0R0WctvtIoY_QTKbh9AqkJNCO_yKEnKzFfPmx-e0,Promueve Bolivia,Magazines,,"eng,spa",Ministerio de Relaciones Exteriores ,Bolivia,9/2009,2,Tourism Guide,,
Chachapuna: Revista de Arquelogía Boliviana,mag011,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/TFdyMNX3aOIT9i4RCW1rcA/LM3suTc8yB0k7hTwW4TtGDXmNubwee0G0ouB_mJk7wmwJrE2wmNZe31OQrIVXv1otHZFjJGvXga-oUell8fTpw/MLb4XmCpjsueln_jYkjZrEONXItz1ZtEQWlnk1OYvHE,"Sagárnaga, Jédu",Magazines,,spa,La Biblioteca y Archivo Histórico del Honorable Congreso Nacional,Bolivia ,12/2008,No. 4,Magazine -- Archeaology,,
Chachapuna: Revista de Arquelogía Boliviana,mag012,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/LbIrDUUYV_PYbSSa8oQXWA/zm4zrG1cTqMCjnYrgxk3IHMMvHsjehsnllcU4CbPYqPkuxyzzHFTqBupaJenC3KZ4LNF4zX4fFmPT3jFBuGDfw/5EKrDFj_pWIVq3QoTuzJ-Ur8cTO9OsRxPsTNELLlmpA,"Sagárnaga, Jédu",Magazines,,spa,La Biblioteca y Archivo Histórico del Honorable Congreso Nacional,Bolivia ,9/2007,No. 2,Magazine -- Archeaology,,
Chachapuna: Revista de Arquelogía Boliviana,mag013,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/QrAl-fIgLTqJi7UbOrNScA/jK5KV9WMjPo9K2ysHQ9sGLQeDhDIz2SF4uTE-HRUx4Cc-OWLfV8SIgORoRWJt1N3XWa7pxS9PBNM6jGKAty3Vw/PpdrA_ZvIVcq7NzpwLurMuuYgTQWLEDNfUFxJh0dBjs,"Sagárnaga, Jédu",Magazines,,spa,La Biblioteca y Archivo Histórico del Honorable Congreso Nacional,Bolivia ,6/2008,No. 3,Magazine -- Archeaology,,
Katatay / Dicen Que Somos,poe001,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/S59VNKM_--XmTfPFgJIWtA/u9C7GMOeCsauiAKSfZShrhYZqLlLeVIdAa6pJKrmWYM9X_yyCXaoMZ7sxbV3wT1_dq6D5hL3m4bu-HDDq8eRhQ/HFiYZjdmQlw19RXrf9_wqIZBa2dhgiLdR0bRzks2jAE,"Arguedas, Jose Maria; Sybila Arredondo de Arguedas",Poetry Books,DL 2011-12892,"que,spa",CHUSCA. Cultura Local Contemporana ,Peru,2011,1,Poetry,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph002819327,https://worldcat.org/en/title/823931084
Puyupa-wayrapa-ninapawan-musqukusqanmanta,poe002,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/tGQD2XIHj1oA6rzXw2gkKw/I8oEi-kDZSBGqQwDaLWtWbPXCmz3IPUIkLIXHwV4Ui1SzLPYCTKStSB3J77H7KNNy-Qgi5pSf7Zcwyx4Qbtodw/avEE96B9qgQhJdxJxDSYxIcRqJ3w7JPF4ZBjdrMTZCc,"Carrillo Cavero, Ugo Facundo ",Poetry Books,978-612-45866-1-3,que,Imrenta Editorial Punto Com EIRL ,Peru,2010,1,Poetry,,
Yaku-Unupa Yuyaynin / La memoria del agua,poe003,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/bJakvSPehOy_iMJE0ipgRg/2KCxvuVBH3PZ6J3kyqTYqGDp0acptu0z17os2gQSPfRpOqRr7u82dd2Wp9zQnpQX81Wxqun5EZWSbe6SGqio9Q/1-hk8ArJbkm-vvfreYUlvG77P9F6a38zNINTUDIZ18A,"Carrillo Cavero, Ugo Facundo ",Poetry Books,DL: 2009-15237,que,conbuenaletra impesiones ,Peru,2009,1,Poetry,,https://worldcat.org/en/title/678476285
Taki Parwa / 22 Poems Kilku Warak'a ,poe004,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/1r86tN6UTpZBfbLviZeDEw/yBGELiALTUGx7TF8_3TXk8O_EpPAA7I5BfQ72lwt8f2zsw2qVzFAFC2PTp54cZ9oNwfjiBq0kk1P0zUVyvEYcQ/o0YzNv4yV1cqaL14Y7xVqdUXrCW0xYj6wQ04UKtjGMk,"Gonzales, Odi",Poetry Books,,que,Corporación Gráfica Navarrete S.A. ,Peru ,,1,Poetry,,https://worldcat.org/en/title/45038428
tunupa / El Libro de las sirenas,poe005,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/IhC2Iu3w4-cp7nl41Mi1RA/OxQFsRCd6RP8Uzjy4r7MojeaS6IHu19vm9jPxdK5JwBmk9zAxItI2IScB28TNNT5RDghs0_CcnsLfNKcwwUWrg/6dXokWQNTArAqpYnFMzcnfG69DKX4CGCLJCoykACWec,"Gonzales, Odi",Poetry Books,9972-68821-6,"que,spa",Santo x Oficio,Peru,2002,1,Poetry,,https://worldcat.org/en/title/50484625
Ciudad [c]oral ,poe006,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/qXjH4sXs43oRYd_2BuGyrw/vQMLMCxSlSjGXn-72gChuPndG6Um3AZi5q6leDcZ0bwL3iFX8gdITrBuEtyipJ8SMAKbMlozOVg5Ls6_d4WDxg/2ZdVcwrtH_7KGuhcXARq4lptvEWYpyb_aVHxk_IygLk,"Gonzales, Odi",Poetry Books,978-612-47289-4-5,spa,Paracaidas ,Peru ,2017,1,Poetry,,https://worldcat.org/en/title/994229711
la escuela de cusco ,poe007,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/OfWabt1DUqH7pjSvsQo8nA/ThqaR7oAVa2Aalf4ouB-eg7Uhu8dqWgeaaxnsMAoffRdRJnApgtNddIGInHyZBgyJbGPurwJ_n5lW9_KzFCtfQ/_R0PoMudArqt5xiaXy-RgtQ5XKLLfo311Vp_OUSWsss,"Gonzales, Odi",Poetry Books,9972-688-542,spa,santo x Oficio,Peru,2005,1,Poetry,,https://worldcat.org/en/title/62677338
Birds on the Kiswar Tree,poe008,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/M5MIZy99rsWdOr_gt7EoZg/b0m-X3NiU2hrbn5-zGmDXnlPuqaVdAKxa5HCM2aLxN7dMLN9XniaBHioeCx9CV3rGezCuAe7p9mOrzJUryCffg/SEq_OprHfXJzSo3qs25MLOIl9bCP_o-Tm6OAzu0nxTA,"Gonzales, Odi",Poetry Books,978-1-940939-24-7,"spa,eng",2Leaf Press,United States,2009,1,,,https://worldcat.org/en/title/929625063
Musuq Illa ,poe009,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/bfl98nGbuQrKq-wHDk2-aA/bmRHTMgCSYRAlDb7nTqxuH5ofeLO_n0rIY-G3lmSLNwsZ2WkooG1O93XVAx3MzFbYB57vrbFvRzS8nbLyrg__g/OWJFNPLRTx78DUkpS4XDb402sGyuP_RRl_nalX9SwQ8,"Krögel, Alison
 ",Poetry Books,978-612-4297-48-9,"spa,que",,,,,Poetry,,https://worldcat.org/en/title/1252632114
Alusiones: Recuentos de un joven andino,poe010,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/WDPrQIsjRouDVJUVSt8XzQ/AMOCEshNbdEcJVkRF6fqwqWvPOtFigBCoRXKQZgx0ThJR8_-4rDiI_9zKC4Hrkts3FJXrHt7j7d8AvB6bh5l4g/Eb1lFWct7PekphkzeCCdo53In1yxedAM8tQXIH0sTLE,"Medrano, Eduardo Félix ",Poetry Books,,spa,,United States,2008,1,Poetry,,https://worldcat.org/en/title/1288391446
